rank,artist_name,playcount,artist_url,artist_mbid
176,The Offspring,52,https://www.last.fm/music/The+Offspring,23a03e33-a603-404e-bcbf-2c00159d7067
177,Dire Straits,51,https://www.last.fm/music/Dire+Straits,614e3804-7d34-41ba-857f-811bad7c2b7a
178,Noel Gallagher,51,https://www.last.fm/music/Noel+Gallagher,6493ed80-8b44-49fa-91de-e7b0a0b57d6d
179,The Hives,51,https://www.last.fm/music/The+Hives,487bfd74-71bf-46dd-b89c-80b7a0f06f2f
180,Buddy Holly,49,https://www.last.fm/music/Buddy+Holly,d352f5dd-3023-4565-a7bb-52396bf8821d
181,Queens of the Stone Age,49,https://www.last.fm/music/Queens+of+the+Stone+Age,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8
182,Jaime Urrutia,48,https://www.last.fm/music/Jaime+Urrutia,fce05c7c-af64-4a28-b8e3-da0a5e9c5839
183,Mötley Crüe,48,https://www.last.fm/music/M%C3%B6tley+Cr%C3%BCe,26f07661-e115-471d-a930-206f5c89d17c
184,Burning,47,https://www.last.fm/music/Burning,71992e0c-8e7a-44e3-b66a-9c0a6c281241
185,Eskorbuto,47,https://www.last.fm/music/Eskorbuto,fd7432e5-2ec0-4197-a38e-cfc26ef2789c
186,Janis Joplin,47,https://www.last.fm/music/Janis+Joplin,76c9a186-75bd-436a-85c0-823e3efddb7f
187,Elbow,46,https://www.last.fm/music/Elbow,3cb3928a-526c-4a3d-93c5-53315fa9bde0
188,Mike Oldfield,46,https://www.last.fm/music/Mike+Oldfield,a1684a49-feaa-4150-b758-d9412fc59f12
189,Enrique Bunbury,45,https://www.last.fm/music/Enrique+Bunbury,
190,Marvin Gaye,45,https://www.last.fm/music/Marvin+Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42
191,Rage Against the Machine,45,https://www.last.fm/music/Rage+Against+the+Machine,3798b104-01cb-484c-a3b0-56adc6399b80
192,Beck,44,https://www.last.fm/music/Beck,
193,Miles Davis,44,https://www.last.fm/music/Miles+Davis,561d854a-6a28-4aa7-8c99-323e6ce46c2a
194,Otis Redding,44,https://www.last.fm/music/Otis+Redding,82b1f5fd-cd31-41a9-b5d4-7e33f0eb9751
195,Portishead,44,https://www.last.fm/music/Portishead,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11
196,Camilo Sesto,43,https://www.last.fm/music/Camilo+Sesto,138fe36a-0888-40d2-9390-3d9be0d74f07
197,Primal Scream,43,https://www.last.fm/music/Primal+Scream,55704c38-224f-4b75-b29f-d43653f8bc9a
198,Giorgio Moroder,42,https://www.last.fm/music/Giorgio+Moroder,38dd6337-19ae-4793-ab4b-313eff523457
199,Loquillo y Trogloditas,42,https://www.last.fm/music/Loquillo+y+Trogloditas,
200,Mansun,42,https://www.last.fm/music/Mansun,a8be3422-d905-42c9-90b6-90ee45e3e938
201,The Charlatans,42,https://www.last.fm/music/The+Charlatans,
202,Player,41,https://www.last.fm/music/Player,7ad4ef1c-4f82-4755-a74b-94cd3096d221
203,Fleetwood Mac,40,https://www.last.fm/music/Fleetwood+Mac,bd13909f-1c29-4c27-a874-d4aaf27c5b1a
204,George Michael,40,https://www.last.fm/music/George+Michael,ccb8f30e-4d71-40c4-8b1d-846dafe73e2c
205,Gilbert O'Sullivan,40,https://www.last.fm/music/Gilbert+O%27Sullivan,215394ba-3d0c-4b57-b284-ec5bb4a5ad25
206,Jimi Hendrix,40,https://www.last.fm/music/Jimi+Hendrix,06fb1c8b-566e-4cb2-985b-b467c90781d4
207,No Doubt,40,https://www.last.fm/music/No+Doubt,fbd2a255-1d57-4d31-ac11-65b671c19958
208,The Cramps,40,https://www.last.fm/music/The+Cramps,96c1edac-1011-4cb8-882c-27248de35071
209,dEUS,39,https://www.last.fm/music/dEUS,f675495f-554e-4919-9675-b3f5bd0b0450
210,Jethro Tull,39,https://www.last.fm/music/Jethro+Tull,ece57992-dc2e-4f67-a269-fa43626c1a3d
